dataset,algorithm,variant,metric,metric_group,n,mean,median,trimean,best_25,worst_25,max,min
nus8,local_space_average_color,default,mean_reproduction_angular_error,multi_illuminant_errors,1736,6.650988,5.676762,5.904987,2.635843,12.276306,25.39134,0.993277
nus8,local_space_average_color,default,mean_reproduction_delta_e_2000,multi_illuminant_errors,1736,8.812658,8.143653,8.291012,4.203722,14.589889,24.804688,1.608475
nus8,max_rgb,naive,angular_error,single_illuminant_errors,1736,12.848224,16.296009,14.130213,2.03725,21.388526,39.853682,0.191076
nus8,max_rgb,naive,recovery_angular_error,single_illuminant_errors,1736,12.848224,16.296009,14.130213,2.03725,21.388526,39.853682,0.191076
nus8,max_rgb,naive,recovery_delta_e_2000,single_illuminant_errors,1736,14.837496,19.984665,16.812281,1.764289,24.255765,51.171106,0.129071
nus8,max_rgb,naive,reproduction_angular_error,single_illuminant_errors,1736,13.190039,16.45995,14.446411,2.410108,21.415306,33.764816,0.182422
nus8,max_rgb,naive,reproduction_delta_e_2000,single_illuminant_errors,1736,17.209384,22.293302,19.333719,4.795329,24.120916,27.180474,0.412478
nus8,multi_light_grid,gray_edge,mean_angular_error,multi_illuminant_errors,1736,5.991769,5.134765,5.223373,2.557209,11.074,61.744045,0.999284
nus8,multi_light_grid,gray_edge,mean_recovery_angular_error,multi_illuminant_errors,1736,5.991769,5.134765,5.223373,2.557209,11.074,61.744045,0.999284
nus8,multi_light_grid,gray_edge,mean_recovery_delta_e_2000,multi_illuminant_errors,1736,5.494826,4.368344,4.517219,2.123839,10.917309,66.828987,0.758641
nus8,multi_light_grid,gray_edge,mean_reproduction_angular_error,multi_illuminant_errors,1736,7.028343,6.147608,6.260004,3.129255,12.521201,51.127293,1.170841
nus8,multi_light_grid,gray_edge,mean_reproduction_delta_e_2000,multi_illuminant_errors,1736,10.492945,9.925898,9.976495,5.599436,16.430215,31.950259,2.429416
nus8,multi_light_grid,gray_world,mean_angular_error,multi_illuminant_errors,1736,5.288829,4.430324,4.682557,2.125731,9.840206,29.659266,0.67098
nus8,multi_light_grid,gray_world,mean_recovery_angular_error,multi_illuminant_errors,1736,5.288829,4.430324,4.682557,2.125731,9.840206,29.659266,0.67098
nus8,multi_light_grid,gray_world,mean_recovery_delta_e_2000,multi_illuminant_errors,1736,4.508984,3.789268,3.985488,1.792831,8.438575,29.223274,0.580127
nus8,multi_light_grid,gray_world,mean_reproduction_angular_error,multi_illuminant_errors,1736,6.83648,5.915987,6.19158,2.792962,12.428129,25.987602,0.922009
